trab	hstrab	edmadre	edpadre	sexo	lugar	anhofin	ocupmadre	ocuppadre	edadr	tituto	mate1	tot1	info1	comp1	cont1	edHOGAR
trabNO	notrab	primaria	secundaria	F	Interior	2005	privado	privadoP	menores20	publico	medioM	medioT	medioI	medioCL	bajoC	1
trabNO	notrab	terciaria	terciaria	F	Interior	2005	privado	privadoP	menores20	publico	medioM	altoT	medioI	altoCL	bajoC	3
trabNO	notrab	primaria	secundaria	F	Interior	2004	privado	privadoP	menores20	publico	bajoM	bajoT	bajoI	bajoCL	medioC	1
trabSI	mas40	secundaria	primaria	F	Interior	2005	amadecasa	privadoP	mayores20	publico	bajoM	medioT	medioI	altoCL	medioC	1
trabNO	notrab	secundaria	secundaria	F	Interior	2005	otros	privadoP	menores20	publico	medioM	medioT	bajoI	medioCL	medioC	1
trabNO	notrab	secundaria	primaria	F	Interior	2005	privado	otrosP	menores20	privado	medioM	medioT	medioI	altoCL	medioC	1
trabNO	notrab	secundaria	secundaria	F	Interior	2006	privado	privadoP	menores20	privado	medioM	medioT	medioI	medioCL	medioC	1
trabNO	notrab	primaria	primaria	F	Interior	2006	privado	otrosP	menores20	privado	bajoM	bajoT	bajoI	medioCL	bajoC	1
trabNO	notrab	secundaria	primaria	F	Interior	2006	publico	privadoP	menores20	publico	medioM	medioT	medioI	altoCL	bajoC	1
trabNO	notrab	terciaria	secundaria	M	Interior	2005	privado	publicoP	menores20	publico	bajoM	bajoT	medioI	bajoCL	bajoC	2
trabNO	notrab	secundaria	primaria	M	Interior	2005	privado	otrosP	mayores20	publico	bajoM	bajoT	altoI	bajoCL	bajoC	1
trabNO	notrab	primaria	primaria	F	Interior	2006	amadecasa	jubiladoP	mayores20	publico	medioM	medioT	medioI	medioCL	medioC	1
trabNO	notrab	secundaria	secundaria	F	Interior	2005	profesional	privadoP	menores20	publico	bajoM	medioT	medioI	bajoCL	altoC	1
trabNO	notrab	secundaria	secundaria	F	Interior	2006	publico	otrosP	mayores20	publico	bajoM	bajoT	medioI	altoCL	altoC	1
trabNO	notrab	secundaria	primaria	F	Interior	2005	publico	otrosP	menores20	publico	medioM	medioT	bajoI	medioCL	altoC	1
trabNO	notrab	primaria	secundaria	M	Interior	2006	otros	otrosP	menores20	publico	altoM	bajoT	medioI	bajoCL	bajoC	1
trabNO	notrab	secundaria	secundaria	M	Interior	2006	jubilado	otrosP	menores20	privado	medioM	medioT	medioI	bajoCL	medioC	1
trabNO	notrab	secundaria	secundaria	F	Interior	2003	amadecasa	otrosP	mayores20	publico	bajoM	bajoT	bajoI	altoCL	medioC	1
trabNO	notrab	terciaria	terciaria	F	Interior	2005	profesional	profesionalP	menores20	publico	medioM	altoT	medioI	altoCL	altoC	3
trabNO	notrab	secundaria	secundaria	F	Interior	2005	profesional	otrosP	menores20	publico	bajoM	bajoT	medioI	altoCL	bajoC	1
trabNO	notrab	terciaria	primaria	F	Interior	2006	jubilado	otrosP	menores20	publico	bajoM	bajoT	medioI	bajoCL	medioC	2
trabNO	notrab	secundaria	secundaria	F	Interior	2006	amadecasa	publicoP	mayores20	publico	medioM	medioT	medioI	altoCL	medioC	1
trabNO	notrab	secundaria	terciaria	F	Interior	2004	profesional	jubiladoP	menores20	publico	medioM	medioT	medioI	medioCL	medioC	2
trabNO	notrab	primaria	primaria	F	Interior	2005	privado	otrosP	menores20	publico	altoM	bajoT	bajoI	bajoCL	bajoC	1
trabSI	mas40	secundaria	primaria	M	Interior	1993	otros	otrosP	mayores20	privado	altoM	altoT	altoI	bajoCL	bajoC	1
trabSI	menos20	secundaria	secundaria	M	Interior	2006	amadecasa	otrosP	menores20	publico	altoM	medioT	medioI	bajoCL	bajoC	1
trabNO	notrab	terciaria	terciaria	F	Interior	2005	profesional	publicoP	menores20	publico	altoM	altoT	altoI	altoCL	medioC	3
trabNO	notrab	secundaria	secundaria	F	Interior	2005	profesional	jubiladoP	menores20	publico	medioM	bajoT	bajoI	bajoCL	medioC	1
trabNO	notrab	terciaria	terciaria	F	Interior	2006	privado	publicoP	menores20	privado	medioM	bajoT	bajoI	bajoCL	bajoC	3
trabNO	notrab	terciaria	secundaria	F	Interior	2005	profesional	privadoP	menores20	publico	bajoM	bajoT	bajoI	altoCL	medioC	2
trabNO	notrab	secundaria	secundaria	M	Interior	2005	profesional	privadoP	menores20	publico	bajoM	medioT	medioI	altoCL	medioC	1
trabNO	notrab	terciaria	secundaria	M	Interior	2005	profesional	privadoP	menores20	publico	medioM	altoT	altoI	medioCL	medioC	2
trabNO	notrab	terciaria	secundaria	M	Interior	2006	profesional	privadoP	menores20	publico	medioM	medioT	medioI	medioCL	bajoC	2
trabNO	notrab	terciaria	terciaria	F	Interior	2006	publico	otrosP	mayores20	publico	bajoM	bajoT	medioI	bajoCL	bajoC	3
trabNO	notrab	secundaria	secundaria	F	Interior	2006	profesional	jubiladoP	menores20	publico	bajoM	bajoT	medioI	bajoCL	bajoC	1
trabNO	notrab	terciaria	secundaria	F	Interior	2005	profesional	otrosP	menores20	publico	bajoM	bajoT	medioI	altoCL	medioC	2
trabNO	notrab	secundaria	secundaria	M	Interior	2005	amadecasa	otrosP	menores20	publico	bajoM	bajoT	medioI	bajoCL	bajoC	1
trabNO	notrab	secundaria	secundaria	M	Interior	2005	amadecasa	otrosP	menores20	privado	medioM	medioT	medioI	altoCL	medioC	1
trabSI	menos20	terciaria	secundaria	M	Interior	2005	privado	privadoP	menores20	privado	bajoM	medioT	medioI	altoCL	medioC	2
trabNO	notrab	secundaria	secundaria	F	Interior	2006	otros	otrosP	menores20	privado	medioM	medioT	medioI	medioCL	bajoC	1
trabNO	notrab	terciaria	terciaria	M	Interior	2006	amadecasa	privadoP	menores20	privado	medioM	medioT	altoI	bajoCL	altoC	3
trabSI	mas40	secundaria	primaria	F	Interior	2003	otros	privadoP	mayores20	publico	bajoM	bajoT	bajoI	altoCL	bajoC	1
trabSI	menos20	secundaria	primaria	M	Interior	2006	amadecasa	publicoP	mayores20	publico	altoM	altoT	medioI	altoCL	medioC	1
trabNO	notrab	terciaria	terciaria	M	Interior	2005	profesional	profesionalP	menores20	publico	altoM	altoT	medioI	altoCL	altoC	3
trabSI	menos20	terciaria	terciaria	M	Interior	2004	otros	otrosP	mayores20	privado	bajoM	bajoT	bajoI	bajoCL	bajoC	3
