"trab" "hstrab" "edmadre" "edpadre" "sexo" "lugar" "anhofin" "ocupmadre" "ocuppadre" "mate1" "tot1" "info1" "comp1" "cont1" "edHOGAR" "instituto" "edad" "ClusJer"
"182" "no" "0" "secundaria" "terciaria" "M" "Interior" 2006 "privado" "otrosP" 0.5 0.5 0.5 0 0 "2" "publico" "<20" 0
"183" "no" "0" "terciaria" "terciaria" "F" "Interior" 2005 "profesional" "jubiladoP" 0.5 1 0.5 1 1 "3" "publico" "<20" 1
"184" "no" "0" "primaria" "secundaria" "M" "Interior" 2006 "amadecasa" "publicoP" 1 1 1 1 0.5 "1" "publico" "<20" 1
"185" "no" "0" "secundaria" "terciaria" "F" "Interior" 2005 "jubilado" "otrosP" 0.5 0.5 0.5 0.5 0.5 "2" "publico" "<20" 1
"186" "no" "0" "primaria" "primaria" "M" "Interior" 2005 "amadecasa" "otrosP" 0 0 0 0.5 0 "1" "publico" "<20" 1
"187" "no" "0" "secundaria" "secundaria" "M" "Interior" 2005 "amadecasa" "otrosP" 0 0.5 0.5 1 0 "1" "publico" "<20" 1
"188" "no" "0" "secundaria" "secundaria" "M" "Interior" 2005 "publico" "publicoP" 0 0.5 0.5 1 0.5 "1" "publico" ">20" 1
"189" "no" "0" "secundaria" "secundaria" "M" "Interior" 2006 "publico" "publicoP" 0 0.5 0.5 0.5 0.5 "1" "publico" "<20" 1
"190" "no" "0" "primaria" "primaria" "M" "Interior" 2005 "otros" "otrosP" 0.5 0.5 0.5 0 0.5 "1" "publico" "<20" 0
"191" "no" "0" "primaria" "secundaria" "F" "Interior" 2005 "amadecasa" "otrosP" 1 0.5 0 0 0 "1" "publico" "<20" 0
"192" "no" "0" "primaria" "primaria" "F" "Interior" 2005 "privado" "otrosP" 0.5 0.5 0 0 0.5 "1" "publico" "<20" 0
"193" "no" "0" "secundaria" "primaria" "M" "Interior" 2006 "privado" "otrosP" 0 0 0.5 0.5 1 "1" "publico" ">20" 1
"194" "no" "0" "secundaria" "terciaria" "F" "Interior" 2006 "amadecasa" "otrosP" 0.5 0.5 0.5 0 1 "2" "publico" ">20" 0
"195" "no" "0" "primaria" "primaria" "F" "Interior" 2005 "amadecasa" "privadoP" 0 0 0 0 1 "1" "publico" ">20" 0
"196" "no" "0" "terciaria" "secundaria" "M" "Interior" 2005 "profesional" "otrosP" 0 0.5 0.5 1 0.5 "2" "publico" "<20" 1
"197" "no" "0" "terciaria" "terciaria" "F" "Interior" 2005 "profesional" "profesionalP" 0.5 0.5 0.5 1 0.5 "3" "publico" "<20" 1
"198" "no" "0" "primaria" "secundaria" "F" "Interior" 2005 "privado" "privadoP" 0.5 0.5 0.5 0.5 0 "1" "publico" "<20" 1
"199" "no" "0" "terciaria" "terciaria" "F" "Interior" 2005 "privado" "privadoP" 0.5 1 0.5 1 0 "3" "publico" "<20" 1
"200" "no" "0" "primaria" "secundaria" "F" "Interior" 2004 "privado" "privadoP" 0 0 0 0 0.5 "1" "publico" "<20" 0
"201" "si" ">20h" "secundaria" "primaria" "F" "Interior" 2005 "amadecasa" "privadoP" 0 0.5 0.5 1 0.5 "1" "publico" ">20" 1
"202" "no" "0" "secundaria" "secundaria" "F" "Interior" 2005 "otros" "privadoP" 0.5 0.5 0 0.5 0.5 "1" "publico" "<20" 0
"203" "no" "0" "secundaria" "primaria" "F" "Interior" 2005 "privado" "otrosP" 0.5 0.5 0.5 1 0.5 "1" "privado" "<20" 1
"204" "no" "0" "secundaria" "secundaria" "F" "Interior" 2006 "privado" "privadoP" 0.5 0.5 0.5 0.5 0.5 "1" "privado" "<20" 1
"205" "no" "0" "primaria" "primaria" "F" "Interior" 2006 "privado" "otrosP" 0 0 0 0.5 0 "1" "privado" "<20" 1
"206" "no" "0" "secundaria" "primaria" "F" "Interior" 2006 "publico" "privadoP" 0.5 0.5 0.5 1 0 "1" "publico" "<20" 1
"207" "no" "0" "terciaria" "secundaria" "M" "Interior" 2005 "privado" "publicoP" 0 0 0.5 0 0 "2" "publico" "<20" 0
"208" "no" "0" "secundaria" "primaria" "M" "Interior" 2005 "privado" "otrosP" 0 0 1 0 0 "1" "publico" ">20" 0
"209" "no" "0" "primaria" "primaria" "F" "Interior" 2006 "amadecasa" "jubiladoP" 0.5 0.5 0.5 0.5 0.5 "1" "publico" ">20" 1
"210" "no" "0" "secundaria" "secundaria" "F" "Interior" 2005 "profesional" "privadoP" 0 0.5 0.5 0 1 "1" "publico" "<20" 0
"211" "no" "0" "secundaria" "secundaria" "F" "Interior" 2006 "publico" "otrosP" 0 0 0.5 1 1 "1" "publico" ">20" 1
"212" "no" "0" "secundaria" "primaria" "F" "Interior" 2005 "publico" "otrosP" 0.5 0.5 0 0.5 1 "1" "publico" "<20" 0
"213" "no" "0" "primaria" "secundaria" "M" "Interior" 2006 "otros" "otrosP" 1 0 0.5 0 0 "1" "publico" "<20" 0
"214" "no" "0" "secundaria" "secundaria" "M" "Interior" 2006 "jubilado" "otrosP" 0.5 0.5 0.5 0 0.5 "1" "privado" "<20" 0
"215" "no" "0" "secundaria" "secundaria" "F" "Interior" 2003 "amadecasa" "otrosP" 0 0 0 1 0.5 "1" "publico" ">20" 1
"216" "no" "0" "terciaria" "terciaria" "F" "Interior" 2005 "profesional" "profesionalP" 0.5 1 0.5 1 1 "3" "publico" "<20" 1
"217" "no" "0" "secundaria" "secundaria" "F" "Interior" 2005 "profesional" "otrosP" 0 0 0.5 1 0 "1" "publico" "<20" 1
"218" "no" "0" "terciaria" "primaria" "F" "Interior" 2006 "jubilado" "otrosP" 0 0 0.5 0 0.5 "2" "publico" "<20" 0
"219" "no" "0" "secundaria" "secundaria" "F" "Interior" 2006 "amadecasa" "publicoP" 0.5 0.5 0.5 1 0.5 "1" "publico" ">20" 1
"220" "no" "0" "secundaria" "terciaria" "F" "Interior" 2004 "profesional" "jubiladoP" 0.5 0.5 0.5 0.5 0.5 "2" "publico" "<20" 1
"221" "no" "0" "primaria" "primaria" "F" "Interior" 2005 "privado" "otrosP" 1 0 0 0 0 "1" "publico" "<20" 0
"222" "si" ">20h" "secundaria" "primaria" "M" "Interior" 1993 "otros" "otrosP" 1 1 1 0 0 "1" "privado" ">20" 0
"223" "si" "<20h" "secundaria" "secundaria" "M" "Interior" 2006 "amadecasa" "otrosP" 1 0.5 0.5 0 0 "1" "publico" "<20" 0
"224" "no" "0" "terciaria" "terciaria" "F" "Interior" 2005 "profesional" "publicoP" 1 1 1 1 0.5 "3" "publico" "<20" 1
"225" "no" "0" "secundaria" "secundaria" "F" "Interior" 2005 "profesional" "jubiladoP" 0.5 0 0 0 0.5 "1" "publico" "<20" 0
"226" "no" "0" "terciaria" "terciaria" "F" "Interior" 2006 "privado" "publicoP" 0.5 0 0 0 0 "3" "privado" "<20" 0
"227" "no" "0" "terciaria" "secundaria" "F" "Interior" 2005 "profesional" "privadoP" 0 0 0 1 0.5 "2" "publico" "<20" 1
"228" "no" "0" "secundaria" "secundaria" "M" "Interior" 2005 "profesional" "privadoP" 0 0.5 0.5 1 0.5 "1" "publico" "<20" 1
"229" "no" "0" "terciaria" "secundaria" "M" "Interior" 2005 "profesional" "privadoP" 0.5 1 1 0.5 0.5 "2" "publico" "<20" 1
"230" "no" "0" "terciaria" "secundaria" "M" "Interior" 2006 "profesional" "privadoP" 0.5 0.5 0.5 0.5 0 "2" "publico" "<20" 1
"231" "no" "0" "terciaria" "terciaria" "F" "Interior" 2006 "publico" "otrosP" 0 0 0.5 0 0 "3" "publico" ">20" 0
"232" "no" "0" "secundaria" "secundaria" "F" "Interior" 2006 "profesional" "jubiladoP" 0 0 0.5 0 0 "1" "publico" "<20" 0
"233" "no" "0" "terciaria" "secundaria" "F" "Interior" 2005 "profesional" "otrosP" 0 0 0.5 1 0.5 "2" "publico" "<20" 1
"234" "no" "0" "secundaria" "secundaria" "M" "Interior" 2005 "amadecasa" "otrosP" 0 0 0.5 0 0 "1" "publico" "<20" 0
"235" "no" "0" "secundaria" "secundaria" "M" "Interior" 2005 "amadecasa" "otrosP" 0.5 0.5 0.5 1 0.5 "1" "privado" "<20" 1
"236" "si" "<20h" "terciaria" "secundaria" "M" "Interior" 2005 "privado" "privadoP" 0 0.5 0.5 1 0.5 "2" "privado" "<20" 1
"237" "no" "0" "secundaria" "secundaria" "F" "Interior" 2006 "otros" "otrosP" 0.5 0.5 0.5 0.5 0 "1" "privado" "<20" 1
"238" "no" "0" "terciaria" "terciaria" "M" "Interior" 2006 "amadecasa" "privadoP" 0.5 0.5 1 0 1 "3" "privado" "<20" 0
"239" "si" ">20h" "secundaria" "primaria" "F" "Interior" 2003 "otros" "privadoP" 0 0 0 1 0 "1" "publico" ">20" 1
"240" "si" "<20h" "secundaria" "primaria" "M" "Interior" 2006 "amadecasa" "publicoP" 1 1 0.5 1 0.5 "1" "publico" ">20" 1
"241" "no" "0" "terciaria" "terciaria" "M" "Interior" 2005 "profesional" "profesionalP" 1 1 0.5 1 1 "3" "publico" "<20" 1
"242" "si" "<20h" "terciaria" "terciaria" "M" "Interior" 2004 "otros" "otrosP" 0 0 0 0 0 "3" "privado" ">20" 0
